Run 1, Time 1,Run 2, Time 2,Run 3, Time 3,Run 4, Time 4,Run 5, Time 5,Run 6, Time 6,Run 7, Time 7,Run 8, Time 8,Run 9, Time 9,Run 10, Time 10,Run 11, Time 11,Run 12, Time 12,Run 13, Time 13,Run 14, Time 14,Run 15, Time 15,Run 16, Time 16,Run 17, Time 17,Run 18, Time 18,Run 19, Time 19,Run 20, Time 20,Run 21, Time 21,Run 22, Time 22,Run 23, Time 23,Run 24, Time 24,Run 25, Time 25,Run 26, Time 26,Run 27, Time 27,Run 28, Time 28,Run 29, Time 29,Run 30, Time 30,Run 31, Time 31,Run 32, Time 32,Run 33, Time 33,Run 34, Time 34,Run 35, Time 35,Run 36, Time 36,Run 37, Time 37,Run 38, Time 38,Run 39, Time 39,Run 40, Time 40,Run 41, Time 41,Run 42, Time 42,Run 43, Time 43,Run 44, Time 44,Run 45, Time 45,Run 46, Time 46,Run 47, Time 47,Run 48, Time 48,Run 49, Time 49,Run 50, Time 50,Run 51, Time 51,Run 52, Time 52,Run 53, Time 53,Run 54, Time 54,Run 55, Time 55,Run 56, Time 56,Run 57, Time 57,Run 58, Time 58,Run 59, Time 59,Run 60, Time 60,Run 61, Time 61,Run 62, Time 62,Run 63, Time 63,Run 64, Time 64,Run 65, Time 65,Run 66, Time 66,Run 67, Time 67,Run 68, Time 68,Run 69, Time 69,Run 70, Time 70,Run 71, Time 71,Run 72, Time 72,Run 73, Time 73,Run 74, Time 74,Run 75, Time 75,Run 76, Time 76,Run 77, Time 77,Run 78, Time 78,Run 79, Time 79,Run 80, Time 80,Run 81, Time 81,Run 82, Time 82,Run 83, Time 83,Run 84, Time 84,Run 85, Time 85,Run 86, Time 86,Run 87, Time 87,Run 88, Time 88,Run 89, Time 89,Run 90, Time 90,Run 91, Time 91,Run 92, Time 92,Run 93, Time 93,Run 94, Time 94,Run 95, Time 95,Run 96, Time 96,Run 97, Time 97,Run 98, Time 98,Run 99, Time 99,Run 100, Time 100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schwefel's Function tests:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data with input size = 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338.677,0.000006457,-241.047,0.00000498,-127.7,0.000004788,143.641,0.000007284,53.8447,0.00000492,809.178,0.000004572,-483.01,0.000004176,259.444,0.000004296,98.8427,0.00000426,413.358,0.00000402,-500.735,0.0000042,564.699,0.000004104,1101.22,0.000004224,-101.539,0.000004332,-88.2919,0.000004116,573.115,0.000003996,-660.131,0.000004009,-928.767,0.000004356,-1153.36,0.000004344,-965.435,0.00000438,192.439,0.000004704,234.278,0.000004345,62.7944,0.000004824,684.878,0.000004068,68.8295,0.000004044,104.11,0.000004116,209.989,0.000004176,-85.4169,0.000004176,723.839,0.000003984,-410.37,0.000004056,451.105,0.000004032,-167.019,0.000004416,-76.527,0.000004188,372.251,0.000004152,-920.836,0.000004093,-544.001,0.000004248,1031.46,0.0000042,-351.777,0.000004008,574.076,0.000004152,726.111,0.000004212,-500.599,0.000004212,-1398.6,0.000004812,495.821,0.000003972,724.195,0.000004032,-962.43,0.000004104,-106.167,0.000004152,-86.4746,0.000004525,1418.81,0.00000396,746.267,0.000003972,-816.359,0.000004404,32.5163,0.000004392,-908.148,0.000004188,-14.3323,0.000004128,-90.4389,0.000004296,-523.897,0.000004476,890.559,0.000004392,-823.606,0.000004392,-89.6601,0.00000408,-780.913,0.000004177,55.6286,0.000004176,-234.533,0.000004404,-364.908,0.000004092,619.201,0.000004068,108.847,0.000004536,60.6765,0.000004008,56.3475,0.00000444,529.168,0.000004512,-1044.61,0.000004332,-441.946,0.0000042,709.893,0.00000474,-172.336,0.000004237,-126.162,0.000004188,-1758.83,0.000003996,102.961,0.000005112,-303.295,0.000004044,-115.384,0.000004284,-296.389,0.000004296,1071.3,0.000004188,-20.801,0.000004224,111.168,0.000004261,-1100.75,0.00000456,-32.8753,0.000004284,-465.966,0.000004104,12.7288,0.00000396,-1196.16,0.000004212,101.301,0.000004044,-279.828,0.000004417,1020.44,0.000003972,-363.187,0.000004116,-172.305,0.000004044,83.4691,0.000003996,-60.7137,0.000004176,-775.803,0.000004224,-911.998,0.000006552,680.221,0.000004248,429.05,0.00000462,-5.40647,0.00000438,-165.325,0.000003996,-266.903,0.00000444,-450.603,0.000003937
Mean time:,4.33294E-06,Mean value:,-61.8187,Median value:,-46.7945,Range:,3177.65,Standard Deviation:,596.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data with input size = 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-49.396,0.00000822,-1329.49,0.000007416,23.0277,0.000007716,-218.737,0.000007272,902.25,0.00000768,358.374,0.000007272,126.112,0.000007609,-488.383,0.000007164,852.621,0.000007656,-715.697,0.000007644,-398.259,0.000007968,-1141.5,0.000007044,1721.76,0.000007332,199.058,0.000007044,-1804.24,0.000007452,613.783,0.000007357,69.5942,0.000007212,-969.285,0.000007416,906.875,0.0000072,-1340.38,0.00000792,31.8537,0.000007572,-289.588,0.000007441,204.713,0.000007332,1246.01,0.000007308,-375.068,0.000007068,551.681,0.00000756,-701.236,0.000007032,-405.114,0.000007153,11.7009,0.000007584,-875.573,0.000007213,-149.354,0.000007188,356.013,0.000007056,636.557,0.000007188,-184.928,0.0000072,542.869,0.000007284,431.053,0.000007332,876.947,0.000007044,-195.448,0.000007644,-1145.03,0.000007608,260.751,0.000007464,-526.509,0.000007416,133.744,0.000007272,1857.96,0.000007081,1164.93,0.000007488,7.82995,0.000007405,538.647,0.000007656,-1582.52,0.000007524,-1178.37,0.000007452,-401.042,0.000007308,414.312,0.000007248,991.751,0.000007128,-476.013,0.00000786,656.791,0.000007956,64.8723,0.000007464,-1018.87,0.000007392,-1451.6,0.000007188,-678.135,0.000007429,-1125.74,0.000007488,-113.052,0.000007524,-315.322,0.000007536,-1218.86,0.00000732,497.059,0.000007344,92.4525,0.000007116,1226.07,0.000007416,-1019.31,0.000007249,-708.419,0.000007644,-162.013,0.00000744,569.94,0.000007212,-1169.13,0.000007332,-1834.9,0.000007212,-549.573,0.000007657,2327.05,0.000007452,577.196,0.0000075,-451.425,0.000007668,-711.691,0.0000078,600.012,0.000007392,-171.986,0.000007536,-82.0272,0.000008101,-342.591,0.000007357,-331.206,0.000008088,-0.13641,0.000007176,166.937,0.000007188,-523.763,0.0000078,1543.19,0.000007524,1575.29,0.000007477,3.60409,0.000007536,897.921,0.000007128,-1985.75,0.000007584,-320.754,0.0000072,-9.49789,0.000007308,682.853,0.000007212,-2175.2,0.000007728,228.202,0.000007537,1138.71,0.000007392,265.419,0.000007356,-1615.36,0.00000726,-2599.13,0.00000774,278.416,0.000007476,1504.63,0.000007477,156.686,0.000007176
Mean time:,1.17609E-05,Mean value:,-147.224,Median value:,1.73384,Range:,4926.18,Standard Deviation:,917.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data with input size = 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2836.57,0.000011604,-785.312,0.000014557,275.551,0.000011076,-1097.26,0.000010572,-2436.94,0.00001074,382.23,0.000010632,-743.754,0.000010548,-1047.38,0.000010824,-2409.88,0.000010716,-382.507,0.000010896,-147.19,0.000010332,-334.769,0.000011845,-167.321,0.000011076,-1867.57,0.00001092,-159.926,0.000010729,-902.435,0.000010633,-968.266,0.000013585,2068,0.000011388,-199.337,0.000010764,-1293.09,0.00001152,1081.91,0.000010644,-1604.86,0.000010189,543.147,0.000010897,-339.296,0.000010069,228.094,0.000011412,269.351,0.00001116,1680.73,0.000010956,-1061.78,0.000011437,-208.31,0.000010837,2278.35,0.00001212,-1259.46,0.000016332,-1589.33,0.000007632,-544.341,0.000007572,1932.48,0.00000756,-635.43,0.00000792,-1143.31,0.000007944,-893.872,0.000007332,-350.754,0.000007404,1025.11,0.000007477,-362.107,0.000007284,-485.916,0.000007344,-1586.86,0.000007368,-2000.84,0.000007525,-134.445,0.000007788,156.086,0.000007656,3025.15,0.000007656,907.414,0.000007356,-1270.95,0.00000744,-846.83,0.000007225,-258.939,0.000007656,407.534,0.0000075,-1453.13,0.000008148,-966.859,0.000007597,676.107,0.000007644,1027.61,0.000007512,1941.37,0.00000738,-1200.05,0.000007644,1059.95,0.00000792,-662.823,0.000007489,757.741,0.00000738,-690.29,0.000009612,1792.88,0.000007356,174.967,0.000008364,709.875,0.000007452,-291.248,0.00000768,-1108.57,0.000007476,2278.26,0.000007488,937.467,0.00000744,5.03043,0.00000774,130.99,0.000007476,-488.918,0.000007428,-1282.11,0.000007752,529.768,0.000007368,-782.578,0.000007681,-567.302,0.000007368,1573.07,0.000007416,573.464,0.000007716,-277.832,0.000007776,-749.022,0.000007765,858.166,0.00000774,-467.703,0.000007536,-233.104,0.00000744,-304.118,0.000007536,-1750.15,0.000007368,-148.38,0.00000726,-678.79,0.000007536,888.551,0.000007716,-863.665,0.000007332,-526.981,0.000007549,-1612.75,0.00000744,1259.26,0.000007584,694.351,0.000007548,872.961,0.000007585,10.2802,0.000007476,482.333,0.000007488,380.654,0.00000738,1754.88,0.000007596,-891.857,0.00000738,476.531,0.000007836,-1400.57,0.000007512
